name,resume,degree,field_of_study,GPA,years_of_experience,age,shortlisted
Susan Bailey,"Susan Bailey is a B.Tech graduate with 1.5 years of experience in software development. They are proficient in technologies such as JavaScript, HTML, C++. Work Highlights: - Developed embedded software in C for an IoT device, managing sensor data acquisition. - Developed real-time bidding algorithms in Scala for an ad-tech platform.",B.Tech,Computer Science,9.88,1.5,22,0
Lauren Cameron DDS,"Lauren Cameron DDS is a B.Tech graduate with 4.0 years of experience in software development. They are proficient in technologies such as Python, Django, JavaScript. Work Highlights: - Developed custom API gateways with Kong for microservices orchestration and security. - Built a scalable data warehousing solution using Amazon Redshift and ETL processes.",B.Tech,Electronics,8.3,4.0,29,1
Samantha Hubbard,"Samantha Hubbard is a BSc graduate with 6.0 years of experience in software development. They are proficient in technologies such as CSS, React, Node.js, Java, SQL, JavaScript. Work Highlights: - Implemented secure REST endpoints and data encryption for a healthcare application. - Managed Git repositories and implemented branching strategies (Gitflow) for team collaboration.",BSc,Computer Science,6.91,6.0,25,0
Michael Johnson,"Michael Johnson is a B.Tech graduate with 5.7 years of experience in software development. They are proficient in technologies such as HTML, CSS, SQL. Work Highlights: - Built a real-time dashboard using Vue.js and WebSockets to display sensor data. - Optimized database connection pooling and transaction management in a Java application.",B.Tech,Computer Science,8.92,5.7,22,0
Dominique Sanchez,"Dominique Sanchez is a B.Tech graduate with 2.0 years of experience in software development. They are proficient in technologies such as CSS, Node.js, SQL, Java. Work Highlights: - Implemented server-side rendering (SSR) for a Next.js application, improving SEO and initial load times. - Assisted in the transition from SVN to Git, providing training and support to the development team.",B.Tech,Electronics,6.42,2.0,30,0
Rebecca Joseph,"Rebecca Joseph is a B.Tech graduate with 1.8 years of experience in software development. They are proficient in technologies such as React, Node.js, Java, CSS, HTML, Django. Work Highlights: - Implemented robust data backup and recovery strategies for critical application data. - Refactored a large JavaScript codebase to TypeScript, improving type safety and maintainability.",B.Tech,Electronics,6.82,1.8,27,0
Victor Gregory,"Victor Gregory is a B.Tech graduate with 0.6 years of experience in software development. They are proficient in technologies such as Django, Node.js, Python, JavaScript. Work Highlights: - Developed a command-line interface (CLI) tool in Python for cloud resource management. - Designed and implemented a robust error logging and monitoring system using ELK stack (Elasticsearch, Logstash, Kibana).",B.Tech,Computer Science,7.31,0.6,32,0
Samuel Rowe,"Samuel Rowe is a M.Tech graduate with 1.7 years of experience in software development. They are proficient in technologies such as JavaScript, Python, SQL. Work Highlights: - Implemented robust caching strategies using Memcached for frequently accessed data. - Implemented secure REST endpoints and data encryption for a healthcare application.",M.Tech,Computer Science,8.53,1.7,22,1
Justin Moore,"Justin Moore is a M.Tech graduate with 3.6 years of experience in software development. They are proficient in technologies such as Django, React, C++, CSS. Work Highlights: - Contributed to the development of a real-time analytics dashboard with Apache Flink. - Assisted in the transition from SVN to Git, providing training and support to the development team.",M.Tech,Information Technology,9.91,3.6,28,0
Charles Miller,"Charles Miller is a BSc graduate with 1.5 years of experience in software development. They are proficient in technologies such as JavaScript, Python, C++, React, SQL, Java. Work Highlights: - Developed a desktop application using C# and WPF for internal tooling. - Configured and maintained Prometheus and Grafana for system monitoring and alerting.",BSc,Computer Science,8.87,1.5,32,1
Emily Ellis,"Emily Ellis is a M.Tech graduate with 3.6 years of experience in software development. They are proficient in technologies such as JavaScript, SQL, Node.js. Work Highlights: - Configured load balancers and auto-scaling groups for high-traffic web applications. - Configured and managed Kubernetes Ingress controllers for external access.",M.Tech,Electronics,9.45,3.6,26,1
Hector Mann,"Hector Mann is a BSc graduate with 0.6 years of experience in software development. They are proficient in technologies such as Django, JavaScript, HTML. Work Highlights: - Developed custom middleware for an Express.js application to handle request parsing. - Managed secrets and environment variables using AWS Secrets Manager.",BSc,Information Technology,9.49,0.6,30,0
Laura Ali,"Laura Ali is a B.Tech graduate with 3.6 years of experience in software development. They are proficient in technologies such as Python, Node.js, JavaScript. Work Highlights: - Managed Git repositories and implemented branching strategies (Gitflow) for team collaboration. - Configured Continuous Deployment with GitLab CI for multi-stage deployments.",B.Tech,Electronics,6.62,3.6,31,0
Karen Chambers,"Karen Chambers is a MSc graduate with 2.3 years of experience in software development. They are proficient in technologies such as SQL, React, Java, HTML, C++. Work Highlights: - Developed algorithms for optimal resource allocation in a cloud computing environment using Python. - Wrote high-performance C++ modules for a real-time trading system, reducing execution latency.",MSc,Information Technology,9.36,2.3,24,1
Bill Villanueva,"Bill Villanueva is a MSc graduate with 3.8 years of experience in software development. They are proficient in technologies such as SQL, Django, Java, JavaScript. Work Highlights: - Configured cloud firewalls and security groups to protect application endpoints. - Managed package dependencies and build processes with npm and Yarn.",MSc,Computer Science,9.71,3.8,24,1
Mark Gonzales,"Mark Gonzales is a MSc graduate with 5.2 years of experience in software development. They are proficient in technologies such as JavaScript, CSS, C++, React. Work Highlights: - Deployed containerized applications to Azure Kubernetes Service (AKS), ensuring high availability. - Improved build times for a large JavaScript project using Webpack optimizations.",MSc,Electronics,9.32,5.2,21,0
Tim Wolfe,"Tim Wolfe is a BSc graduate with 2.5 years of experience in software development. They are proficient in technologies such as HTML, Node.js, SQL. Work Highlights: - Managed and maintained Linux servers, ensuring system uptime and security. - Developed real-time bidding algorithms in Scala for an ad-tech platform.",BSc,Information Technology,6.01,2.5,26,0
Misty Moore,"Misty Moore is a MSc graduate with 3.8 years of experience in software development. They are proficient in technologies such as HTML, Java, C++, React, CSS, Python. Work Highlights: - Optimized front-end asset loading using CDN and image optimization techniques. - Implemented robust data backup and recovery strategies for critical application data.",MSc,Computer Science,6.35,3.8,27,0
